[NormalWindows1MaxForcePoint],"0,0",,,4,,0.267,0,0,0.318,5.2
[NormalWindows2MinPositionPoint],"0,0",,,5,,0.343,0,0,0.328,6.3
[NormalWindows2MaxPositionPoint],"0,0",,,6,,0.43,0,0,0.338,7.2
[NormalWindows2MinForcePoint],"0,0",,,7,,0.522,0,0,0.348,7.8
[NormalWindows2MaxForcePoint],"0,0",,,8,,0.616,0,0,0.358,8.4
[NormalWindows3MinPositionPoint],"0,0",,,9,,0.715,0,0,0.368,8.9
[NormalWindows3MaxPositionPoint],"0,0",,,10,,0.766,0,0,0.373,9.2
[NormalWindows3MinForcePoint],"0,0",,,11,,0.821,0,0,0.378,9.5
[NormalWindows3MaxForcePoint],"0,0",,,12,,0.88,0,0,0.383,9.8
[UpLimitWindowMinPositionPoint],"0,0",,,13,,0.939,0,0,0.388,10.1
[UpLimitWindowMaxPositionPoint],"0,0",,,14,,0.999,0,0,0.393,10.4
[UpLimitWindowMinForcePoint],"0,0",,,15,,1.061,0,0,0.398,10.7
[UpLimitWindowMaxForcePoint],"0,0",,,16,,1.125,0,0,0.403,11
[LowLimitWindowMinPositionPoint],"0,0",,,17,,1.19,0,0,0.408,11.4
[LowLimitWindowMaxPositionPoint],"0,0",,,18,,1.257,0,0,0.413,11.8
[LowLimitWindowMinForcePoint],"0,0",,,19,,1.326,0,0,0.418,12.1
[LowLimitWindowMaxForcePoint],"0,0",,,20,,1.399,0,0,0.423,12.6
[XMax],46.321,,,21,,1.471,0,0,0.428,12.9
[YMax],19.901,,,22,,1.547,0,0,0.433,13.2
RelativeWin0Value,0,0,,23,,1.63,0,0,0.438,13.7
RelativeWin1Value,0,0,,24,,1.714,0,0,0.443,14.2
RelativeWin2Value,0,0,,25,,1.795,0,0,0.448,14.6
RelativeWin3Value,0,0,,26,,1.889,0,0,0.453,15.2
RelativeWin4Value,0,0,,27,,1.986,0,0,0.458,15.8
RelativeWin5Value,0,0,,28,,2.086,0,0,0.463,16.5
[SlopeWin0Value],"0,0",,,29,,2.192,0,0,0.468,17.2
[SlopeWin1Value],"0,0",,,30,,2.302,0,0,0.473,17.9
[SlopeWin2Value],"0,0",,,31,,2.419,0,0,0.478,18.9
[SlopeWin3Value],"0,0",,,32,,2.543,0,0,0.483,19.8
[MonitorAreaFrom],"0,0",,,33,,2.67,0,0,0.488,20.7
[MonitorAreaTo],"0,0",,,34,,2.798,0,0,0.493,21.6
[MeasureValue1],"0,0",,,35,,2.936,0,0,0.498,22.7
[MeasureValue2],"0,0",,,36,,3.08,0,0,0.503,23.7
[MeasureValue3],"0,0",,,37,,3.218,0,0,0.508,24.5
[MeasureValue4],"0,0",,,38,,3.36,0,0,0.513,25.4
[XMin],0,,,39,,3.504,0,0,0.518,26.2
[YMin],0,,,40,,3.648,0,0,0.523,26.8
,,,,41,,3.788,0,0,0.528,27.3
,,,,42,,3.935,0,0,0.533,27.8
,,,,43,,4.083,0,0,0.538,28.2
,,,,44,,4.23,0,0,0.543,28.6
,,,,45,,4.376,0,0,0.548,28.7
,,,,46,,4.525,0,0,0.553,28.8
,,,,47,,4.671,0,0,0.558,29
,,,,48,,4.821,0,0,0.563,29.1
,,,,49,,4.968,0,0,0.568,29.2
,,,,50,,5.111,0,0,0.573,29.2
,,,,51,,5.255,0,0,0.578,29.2
,,,,52,,5.409,0,0,0.583,29.4
,,,,53,,5.561,0,0,0.588,29.5
,,,,54,,5.713,0,0,0.593,29.6
,,,,55,,5.864,0,0,0.598,29.7
,,,,56,,6.015,0,0,0.603,29.7
,,,,57,,6.16,0,0,0.608,29.7
,,,,58,,6.312,0,0,0.613,29.7
,,,,59,,6.464,0,0,0.618,29.8
,,,,60,,6.603,0,0,0.623,29.7
,,,,61,,6.762,0,0,0.628,30.1
,,,,62,,6.912,0,0,0.633,30
,,,,63,,7.064,0,0,0.638,30
,,,,64,,7.214,0,0,0.643,29.9
,,,,65,,7.364,0,0,0.648,29.9
,,,,66,,7.511,0,0,0.653,29.8
,,,,67,,7.662,0,0,0.658,30
,,,,68,,7.814,0,0,0.663,30
,,,,69,,7.957,0,0,0.668,29.8
,,,,70,,8.104,0,0,0.673,29.9
,,,,71,,8.263,0,0,0.678,29.9
,,,,72,,8.414,0,0,0.683,30
,,,,73,,8.564,0,0,0.688,29.9
,,,,74,,8.714,0,0,0.693,29.9
,,,,75,,8.865,0,0,0.698,30
,,,,76,,9.016,0,0,0.703,30
,,,,77,,9.165,0,0,0.708,30
,,,,78,,9.315,0,0,0.713,29.9
,,,,79,,9.465,0,0,0.718,30.1
,,,,80,,9.617,0,0,0.723,30.2
,,,,81,,9.764,0,0,0.728,30
,,,,82,,9.908,0,0,0.733,29.8
,,,,83,,10.062,0,0,0.738,29.9
,,,,84,,10.217,0,0,0.743,30
,,,,85,,10.363,0,0,0.748,29.9
,,,,86,,10.513,0,0,0.752,29.9
,,,,87,,10.665,0,0,0.757,29.9
,,,,88,,10.816,0,0,0.762,29.9
,,,,89,,10.965,0,0,0.767,29.9
,,,,90,,11.116,0,0,0.772,29.9
,,,,91,,11.267,0,0,0.777,29.9
,,,,92,,11.417,0,0,0.782,30.1
,,,,93,,11.563,0,0,0.787,29.9
,,,,94,,11.716,0,0,0.792,29.9
,,,,95,,11.867,0,0,0.797,30
,,,,96,,12.019,0,0,0.802,30
,,,,97,,12.167,0,0,0.807,29.9
,,,,98,,12.317,0,0,0.812,29.9
,,,,99,,12.469,0,0,0.817,30
,,,,100,,12.616,0,0,0.822,29.9
,,,,101,,12.763,0,0,0.827,29.8
,,,,102,,12.916,0,0,0.832,29.9
,,,,103,,13.068,0,0,0.837,30
,,,,104,,13.22,0,0,0.842,30
,,,,105,,13.364,0,0,0.847,29.9
,,,,106,,13.517,0,0,0.852,29.9
,,,,107,,13.668,0,0,0.857,29.9
,,,,108,,13.807,0,0,0.862,29.7
,,,,109,,13.966,0,0,0.867,29.8
,,,,110,,14.116,0,0,0.872,29.9
,,,,111,,14.268,0,0,0.877,30
,,,,112,,14.419,0,0,0.882,30
,,,,113,,14.569,0,0,0.887,29.9
,,,,114,,14.72,0,0,0.892,29.9
,,,,115,,14.871,0,0,0.897,30
,,,,116,,15.022,0,0,0.902,30
,,,,117,,15.17,0,0,0.907,30
,,,,118,,15.321,0,0,0.912,30.2
,,,,119,,15.472,0,0,0.917,30
,,,,120,,15.622,0,0,0.922,30
,,,,121,,15.761,0,0,0.927,29.8
,,,,122,,15.922,0,0,0.932,30
,,,,123,,16.073,0,0,0.937,30
,,,,124,,16.219,0,0,0.942,29.9
,,,,125,,16.369,0,0,0.947,29.9
,,,,126,,16.52,0,0,0.952,29.9
,,,,127,,16.671,0,0,0.957,29.9
,,,,128,,16.821,0,0,0.962,29.9
,,,,129,,16.97,0,0,0.967,29.9
,,,,130,,17.114,0,0,0.972,29.7
,,,,131,,17.266,0,0,0.977,30
,,,,132,,17.42,0,0,0.982,29.9
,,,,133,,17.57,0,0,0.987,29.8
,,,,134,,17.72,0,0,0.992,29.9
,,,,135,,17.872,0,0,0.997,30
,,,,136,,18.023,0,0,1.002,30
,,,,137,,18.169,0,0,1.007,29.9
,,,,138,,18.319,0,0,1.012,29.8
,,,,139,,18.471,0,0,1.017,29.9
,,,,140,,18.624,0,0,1.022,30.1
,,,,141,,18.768,0,0,1.027,29.9
,,,,142,,18.919,0,0,1.032,29.9
,,,,143,,19.075,0,0,1.037,30
,,,,144,,19.224,0,0,1.042,30
,,,,145,,19.373,0,0,1.047,29.9
,,,,146,,19.524,0,0,1.052,29.9
,,,,147,,19.675,0,0,1.057,30
,,,,148,,19.826,0,0,1.062,30
,,,,149,,19.97,0,0,1.067,29.9
,,,,150,,20.119,0,0,1.072,29.8
,,,,151,,20.276,0,0,1.077,30.1
,,,,152,,20.427,0,0,1.082,30.1
,,,,153,,20.572,0,0,1.087,29.8
,,,,154,,20.724,0,0,1.092,29.9
,,,,155,,20.876,0,0,1.097,30
,,,,156,,21.013,0,0,1.102,29.7
,,,,157,,21.176,0,0,1.107,29.9
,,,,158,,21.327,0,0,1.112,29.9
,,,,159,,21.468,0,0,1.117,29.9
,,,,160,,21.627,0,0,1.122,30.1
,,,,161,,21.777,0,0,1.127,29.9
,,,,162,,21.924,0,0,1.132,29.8
,,,,163,,22.076,0,0,1.137,30
,,,,164,,22.227,0,0,1.142,30
,,,,165,,22.376,0,0,1.147,29.9
,,,,166,,22.525,0,0,1.152,30.1
,,,,167,,22.677,0,0,1.157,29.9
,,,,168,,22.827,0,0,1.162,29.9
,,,,169,,22.977,0,0,1.167,30.1
,,,,170,,23.128,0,0,1.172,29.9
,,,,171,,23.278,0,0,1.177,29.9
,,,,172,,23.423,0,0,1.182,29.9
,,,,173,,23.562,0,0,1.187,29.6
,,,,174,,23.71,0,0,1.192,29.5
,,,,175,,23.869,0,0,1.197,29.8
,,,,176,,24.021,0,0,1.202,29.8
,,,,177,,24.175,0,0,1.207,29.9
,,,,178,,24.32,0,0,1.212,29.8
,,,,179,,24.477,0,0,1.217,29.9
,,,,180,,24.629,0,0,1.222,29.9
,,,,181,,24.779,0,0,1.226,29.9
,,,,182,,24.929,0,0,1.231,30
,,,,183,,25.081,0,0,1.236,30.3
,,,,184,,25.229,0,0,1.241,30.3
,,,,185,,25.38,0,0,1.246,30.1
,,,,186,,25.531,0,0,1.251,30.1
,,,,187,,25.681,0,0,1.256,30
,,,,188,,25.83,0,0,1.261,30.1
,,,,189,,25.98,0,0,1.266,30
,,,,190,,26.131,0,0,1.271,30
,,,,191,,26.281,0,0,1.276,30
,,,,192,,26.428,0,0,1.281,29.9
,,,,193,,26.58,0,0,1.286,29.9
,,,,194,,26.73,0,0,1.291,29.9
,,,,195,,26.882,0,0,1.296,29.9
,,,,196,,27.03,0,0,1.301,29.9
,,,,197,,27.181,0,0,1.306,29.9
,,,,198,,27.332,0,0,1.311,30
,,,,199,,27.482,0,0,1.316,30
,,,,200,,27.632,0,0,1.321,29.9
,,,,201,,27.782,0,0,1.326,29.9
,,,,202,,27.932,0,0,1.331,30
,,,,203,,28.083,0,0,1.336,30
,,,,204,,28.229,0,0,1.341,29.9
,,,,205,,28.381,0,0,1.346,29.9
,,,,206,,28.533,0,0,1.351,30
,,,,207,,28.673,0,0,1.356,29.7
,,,,208,,28.817,0,0,1.361,29.6
,,,,209,,28.974,0,0,1.366,29.7
,,,,210,,29.128,0,0,1.371,29.8
,,,,211,,29.279,0,0,1.376,29.8
,,,,212,,29.429,0,0,1.381,29.8
,,,,213,,29.58,0,0,1.386,29.9
,,,,214,,29.723,0,0,1.391,29.8
,,,,215,,29.877,0,0,1.396,29.8
,,,,216,,30.03,0,0,1.401,29.8
,,,,217,,30.182,0,0,1.406,30.1
,,,,218,,30.334,0,0,1.411,30.2
,,,,219,,30.484,0,0,1.416,30.1
,,,,220,,30.629,0,0,1.421,29.9
,,,,221,,30.781,0,0,1.426,29.9
,,,,222,,30.933,0,0,1.431,30
,,,,223,,31.084,0,0,1.436,30
,,,,224,,31.232,0,0,1.441,30.1
,,,,225,,31.383,0,0,1.446,30
,,,,226,,31.525,0,0,1.451,29.8
,,,,227,,31.665,0,0,1.456,29.6
,,,,228,,31.821,0,0,1.461,29.7
,,,,229,,31.974,0,0,1.466,29.7
,,,,230,,32.128,0,0,1.471,29.9
,,,,231,,32.282,0,0,1.476,29.9
,,,,232,,32.429,0,0,1.481,29.8
,,,,233,,32.58,0,0,1.486,29.8
,,,,234,,32.732,0,0,1.491,29.9
,,,,235,,32.885,0,0,1.496,30
,,,,236,,33.034,0,0,1.501,30.1
,,,,237,,33.185,0,0,1.506,30.3
,,,,238,,33.336,0,0,1.511,30.2
,,,,239,,33.483,0,0,1.516,30.1
,,,,240,,33.633,0,0,1.521,30
,,,,241,,33.785,0,0,1.526,30
,,,,242,,33.936,0,0,1.531,30
,,,,243,,34.087,0,0,1.536,30.1
,,,,244,,34.236,0,0,1.541,30
,,,,245,,34.386,0,0,1.546,29.9
,,,,246,,34.537,0,0,1.551,30
,,,,247,,34.688,0,0,1.556,30
,,,,248,,34.836,0,0,1.561,29.9
,,,,249,,34.987,0,0,1.566,30
,,,,250,,35.137,0,0,1.571,30
,,,,251,,35.288,0,0,1.576,30
,,,,252,,35.434,0,0,1.581,29.9
,,,,253,,35.586,0,0,1.586,29.9
,,,,254,,35.738,0,0,1.591,30
,,,,255,,35.889,0,0,1.596,30
,,,,256,,36.037,0,0,1.601,29.9
,,,,257,,36.188,0,0,1.606,29.9
,,,,258,,36.335,0,0,1.611,29.9
,,,,259,,36.485,0,0,1.616,29.9
,,,,260,,36.636,0,0,1.621,29.9
,,,,261,,36.787,0,0,1.626,29.9
,,,,262,,36.929,0,0,1.631,29.8
,,,,263,,37.088,0,0,1.636,30
,,,,264,,37.239,0,0,1.641,29.9
,,,,265,,37.388,0,0,1.646,29.9
,,,,266,,37.538,0,0,1.651,29.9
,,,,267,,37.685,0,0,1.656,29.9
,,,,268,,37.823,0,0,1.661,29.7
,,,,269,,37.96,0,0,1.666,29.4
,,,,270,,38.092,0,0,1.671,29
,,,,271,,38.218,0,0,1.676,28.5
,,,,272,,38.326,0,0,1.681,27.8
,,,,273,,38.452,0,0,1.686,27.2
,,,,274,,38.565,0,0,1.691,26.4
,,,,275,,38.673,0,0,1.695,25.6
,,,,276,,38.775,0,0,1.7,24.7
,,,,277,,38.872,0,0,1.705,23.7
,,,,278,,38.969,0,0,1.71,22.8
,,,,279,,39.062,0,0,1.715,21.9
,,,,280,,39.149,0,0,1.72,21.1
,,,,281,,39.235,0,0,1.725,20.2
,,,,282,,39.317,0,0,1.73,19.7
,,,,283,,39.398,0,0,1.735,18.8
,,,,284,,39.474,0,0,1.74,18.1
,,,,285,,39.548,0,0,1.745,17.4
,,,,286,,39.621,0,0,1.75,16.8
,,,,287,,39.691,0,0,1.755,16.3
,,,,288,,39.753,0,0,1.76,15.6
,,,,289,,39.823,0,0,1.765,15.1
,,,,290,,39.887,0,0,1.77,14.6
,,,,291,,39.949,0,0,1.775,14.2
,,,,292,,40.008,0,0,1.78,13.7
,,,,293,,40.067,0,0,1.785,13.3
,,,,294,,40.123,0,0,1.79,12.9
,,,,295,,40.179,0,0,1.795,12.5
,,,,296,,40.232,0,0,1.8,12.1
,,,,297,,40.283,0,0,1.805,11.7
,,,,298,,40.336,0,0,1.81,11.6
,,,,299,,40.388,0,0,1.815,11.2
,,,,300,,40.482,0,0,1.825,10.6
,,,,301,,40.577,0,0,1.835,10.1
,,,,302,,40.665,0,0,1.845,9.6
,,,,303,,40.746,0,0,1.855,9.2
,,,,304,,40.83,0,0,1.865,8.8
,,,,305,,40.889,0,0,1.875,8
,,,,306,,40.942,0,0,1.895,5.4
,,,,307,,40.992,0,0,1.96,0.5
,,,,308,,40.999,0,0,2.02,0
,,,,309,,41.053,0,0,2.683,1
,,,,310,,41.103,0,0,2.703,1.9
,,,,311,,41.16,0,0,2.723,2.5
,,,,312,,41.215,0,0,2.743,2.6
,,,,313,,41.274,0,0,2.763,2.8
,,,,314,,41.329,0,0,2.783,2.8
,,,,315,,41.393,0,0,2.803,2.9
,,,,316,,41.453,0,0,2.823,2.9
,,,,317,,41.509,0,0,2.843,2.8
,,,,318,,41.572,0,0,2.863,2.9
,,,,319,,41.633,0,0,2.883,2.9
,,,,320,,41.694,0,0,2.903,2.9
,,,,321,,41.752,0,0,2.923,2.9
,,,,322,,41.808,0,0,2.943,2.8
,,,,323,,41.87,0,0,2.963,2.9
,,,,324,,41.927,0,0,2.983,2.8
,,,,325,,41.977,0,0,2.998,2.9
,,,,326,,42.037,0,0,3.018,2.9
,,,,327,,42.098,0,0,3.038,3
,,,,328,,42.159,0,0,3.058,3
,,,,329,,42.219,0,0,3.078,2.9
,,,,330,,42.28,0,0,3.098,2.9
,,,,331,,42.339,0,0,3.117,2.9
,,,,332,,42.396,0,0,3.137,2.9
,,,,333,,42.459,0,0,3.157,2.9
,,,,334,,42.512,0,0,3.177,2.8
,,,,335,,42.563,0,0,3.192,2.9
,,,,336,,42.624,0,0,3.212,2.9
,,,,337,,42.676,0,0,3.232,2.8
,,,,338,,42.728,0,0,3.247,2.9
,,,,339,,42.788,0,0,3.267,2.9
,,,,340,,42.849,0,0,3.287,3
,,,,341,,42.908,0,0,3.307,3
,,,,342,,42.966,0,0,3.327,2.9
,,,,343,,43.029,0,0,3.347,2.9
,,,,344,,43.089,0,0,3.367,3
,,,,345,,43.141,0,0,3.387,2.8
,,,,346,,43.206,0,0,3.407,2.9
,,,,347,,43.266,0,0,3.427,2.8
,,,,348,,43.321,0.054,0,3.447,2.8
,,,,349,,43.373,0.109,0,3.462,2.9
,,,,350,,43.429,0.136,0,3.482,2.9
,,,,351,,43.479,0.301,0,3.497,3.1
,,,,352,,43.54,0.547,0,3.517,3
,,,,353,,43.6,0.657,0,3.537,2.9
,,,,354,,43.656,0.684,0,3.557,2.9
,,,,355,,43.719,0.438,0,3.577,3
,,,,356,,43.774,0.109,0,3.596,2.8
,,,,357,,43.825,0,0,3.611,3
,,,,358,,43.883,0.027,0,3.631,2.9
,,,,359,,43.946,0.328,0,3.651,3
,,,,360,,44,0.657,0,3.671,2.9
,,,,361,,44.065,1.095,0,3.691,2.9
,,,,362,,44.118,1.589,0,3.711,2.8
,,,,363,,44.168,1.945,0,3.726,2.9
,,,,364,,44.23,2.438,0,3.746,2.9
,,,,365,,44.276,2.958,0,3.766,3.1
,,,,366,,44.333,3.287,0,3.781,2.9
,,,,367,,44.396,3.698,0,3.801,2.9
,,,,368,,44.456,3.945,0,3.821,3.1
,,,,369,,44.516,3.945,0,3.841,3
,,,,370,,44.576,3.808,0,3.861,2.9
,,,,371,,44.636,3.643,0,3.881,2.9
,,,,372,,44.688,3.452,0,3.901,2.9
,,,,373,,44.74,3.315,0,3.916,2.9
,,,,374,,44.801,3.15,0,3.936,2.9
,,,,375,,44.86,3.123,0,3.956,3
,,,,376,,44.919,3.15,0,3.976,2.9
,,,,377,,44.981,3.287,0,3.996,3
,,,,378,,45.04,3.452,0,4.016,2.9
,,,,379,,45.1,3.643,0,4.036,2.9
,,,,380,,45.162,3.89,0,4.055,3.1
,,,,381,,45.218,4.136,0,4.075,3
,,,,382,,45.281,4.41,0,4.095,2.9
,,,,383,,45.339,4.739,0,4.115,2.9
,,,,384,,45.402,5.041,0,4.135,3
,,,,385,,45.456,5.397,0,4.155,3
,,,,386,,45.506,5.698,0,4.17,2.9
,,,,387,,45.562,6.164,0,4.19,2.8
,,,,388,,45.627,6.63,0,4.21,3
,,,,389,,45.664,7.15,0,4.228,2.8
,,,,390,,45.716,7.506,0,4.24,3
,,,,391,,45.767,7.863,0,4.285,1.2
,,,,392,,45.817,8.082,0,4.779,0
,,,,393,,45.856,8.602,0,5.321,0
,,,,394,,45.882,9.123,0,5.696,0
,,,,395,,45.904,9.643,0,6.011,0
,,,,396,,45.928,10.156,0,6.336,0
,,,,397,,45.952,10.666,0,6.684,0
,,,,398,,45.975,11.176,0,7.009,0
,,,,399,,45.999,11.686,0,7.332,0
,,,,400,,46.021,12.196,0,7.657,0
,,,,401,,46.043,12.705,0,7.957,0
,,,,402,,46.065,13.215,0,8.265,0
,,,,403,,46.087,13.725,0,8.561,0
,,,,404,,46.108,14.235,0,8.865,0
,,,,405,,46.128,14.745,0,9.154,0
,,,,406,,46.149,15.254,0,9.442,0
,,,,407,,46.169,15.764,0,9.726,0
,,,,408,,46.189,16.274,0,10.007,0
,,,,409,,46.208,16.784,0,10.273,0
,,,,410,,46.227,17.294,0,10.531,0
,,,,411,,46.246,17.803,0,10.801,0
,,,,412,,46.264,18.313,0,11.056,0
,,,,413,,46.282,18.823,0,11.307,0
,,,,414,,46.301,19.333,0,11.576,0
,,,,415,,46.319,19.843,0,11.825,0
,,,,416,,46.321,19.901,0,11.853,0
,,,,417,,46.307,19.392,0,12.081,0.2
,,,,418,,46.295,18.882,0,12.086,0.5
,,,,419,,46.278,18.352,0,12.09,0.8
,,,,420,,46.258,17.843,0,12.094,1.2
,,,,421,,46.258,17.313,0,12.098,1.2
,,,,422,,46.237,16.784,0,12.101,1.6
,,,,423,,46.215,16.254,0,12.105,2
,,,,424,,46.215,15.725,0,12.108,2
,,,,425,,46.192,15.196,0,12.112,2.5
,,,,426,,46.168,14.686,0,12.115,3
,,,,427,,46.168,14.176,0,12.118,3
,,,,428,,46.144,13.666,0,12.121,3.4
,,,,429,,46.12,13.137,0,12.125,3.8
,,,,430,,46.12,12.627,0,12.128,3.8
,,,,431,,46.093,12.098,0,12.131,4.2
,,,,432,,46.067,11.588,0,12.134,4.5
,,,,433,,46.067,11.078,0,12.138,4.5
,,,,434,,46.04,10.549,0,12.141,4.7
,,,,435,,46.012,10.019,0,12.144,4.8
,,,,436,,46.012,9.479,0,12.147,4.8
,,,,437,,45.984,8.931,0,12.15,5
,,,,438,,45.984,8.41,0,12.152,5
,,,,439,,45.956,7.89,0,12.155,5.1
,,,,440,,45.956,7.369,0,12.157,5.1
,,,,441,,45.928,6.849,0,12.159,5.2
,,,,442,,45.928,6.328,0,12.162,5.2
,,,,443,,45.897,5.78,0,12.164,5.3
,,,,444,,45.897,5.232,0,12.167,5.3
,,,,445,,45.868,4.712,0,12.169,5.4
,,,,446,,45.868,4.164,0,12.172,5.4
,,,,447,,45.837,3.643,0,12.174,5.6
,,,,448,,45.837,3.123,0,12.177,5.6
,,,,449,,45.806,2.602,0,12.181,5.7
,,,,450,,45.772,2.082,0,12.184,5.8
,,,,451,,45.772,1.534,0,12.188,5.8
,,,,452,,45.741,1.013,0,12.192,5.9
,,,,453,,45.708,0.493,0,12.196,6
,,,,454,,45.64,0,0,12.203,6.2
,,,,455,,45.569,0,0,12.213,6.5
,,,,456,,45.496,0,0,12.223,6.7
,,,,457,,45.421,0,0,12.233,6.9
,,,,458,,45.342,0,0,12.243,7.2
,,,,459,,45.261,0,0,12.253,7.5
,,,,460,,45.177,0,0,12.263,7.7
,,,,461,,45.089,0,0,12.273,8
,,,,462,,44.997,0,0,12.283,8.4
,,,,463,,44.902,0,0,12.293,8.7
,,,,464,,44.802,0,0,12.303,9.1
,,,,465,,44.75,0,0,12.308,9.3
,,,,466,,44.696,0,0,12.313,9.5
,,,,467,,44.641,0,0,12.318,9.8
,,,,468,,44.585,0,0,12.323,10
,,,,469,,44.528,0,0,12.328,10.2
,,,,470,,44.472,0,0,12.333,10.4
,,,,471,,44.41,0,0,12.338,10.7
,,,,472,,44.345,0,0,12.343,11
,,,,473,,44.288,0,0,12.348,11.2
,,,,474,,44.224,0,0,12.353,11.4
,,,,475,,44.151,0,0,12.358,11.9
,,,,476,,44.082,0,0,12.363,12.2
,,,,477,,44.003,0,0,12.368,12.7
,,,,478,,43.928,0,0,12.373,13
,,,,479,,43.86,0,0,12.378,13.2
,,,,480,,43.81,0,0,12.383,13.1
,,,,481,,43.747,0,0,12.393,11.9
,,,,482,,43.694,0,0,12.408,9
,,,,483,,43.644,0,0,12.433,3.2
